PF,Lot,x,y,z,Slope,Orientation,Location,Group,Taxon,Length,Width,AreaBodyWhorl,LengthBodyWhorl,PerfLength,PerfWidth,AreaPerf,RatioBodyFull,RatioAreaPerf,Thickness,Note
4628,191,1.57115,2.9243,-0.20195,5.46510053,44,Abdomen,N,Columbella rustica,14.1159,8.64471,66.703,10.2451,5.57308,5.82566,26.425,0.725784399,0.396159093,0.405466,
5060,154,1.61065,2.87685,-0.2138,24.38263787,285,Abdomen,Y,Columbella rustica,13.1864,8.04862,66.856,9.65652,5.34839,6.31425,31.335,0.732309046,0.468693909,0.282143,
5061,154,1.6127,2.88425,-0.21165,18.25919337,267,Abdomen,Y,Columbella rustica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chosen for dating
5062,154,1.6067,2.88885,-0.2137,29.88996264,266,Abdomen,Y,Columbella rustica,13.8008,7.9666,64.181,9.77922,5.17233,5.22532,24.317,0.708598052,0.3788816,0.211122,
5063,154,1.61415,2.893,-0.2119,31.69021748,266,Abdomen,Y,Columbella rustica,13.694,8.21515,64.396,9.67427,4.2102,5.47213,20.524,0.706460494,0.318715448,0.284833,
5064,154,1.6158,2.87185,-0.215,5.360044774,223,Abdomen,Y,Columbella rustica,15.2941,8.9325,75.305,10.7763,6.31377,6.68869,38.625,0.704605044,0.512914149,0.321668,
5088,200,1.59805,2.87605,-0.22195,25.90790836,328,Abdomen,Y,Columbella rustica,14.2994,8.90177,78.628,10.2635,5.31201,5.91859,28.009,0.717757388,0.356221702,0.35778,
5089,200,1.6013,2.89625,-0.21895,38.5138454,265,Abdomen,Y,Columbella rustica,13.9607,8.65902,73.59,9.77939,4.41169,5.13002,22.954,0.700494245,0.31191738,0.336971,
6260,184,1.51555,2.7841,-0.2007,22.108786,50,Head,Y,Columbella rustica,13.3192,8.98614,77.153,9.45995,4.74498,5.28548,24.844,0.710249114,0.322009514,0.403413,
6261,184,1.48,2.78505,-0.19485,5.083086324,73,Head,Y,Columbella rustica,13.8072,8.23964,67.513,9.7923,4.68945,5.25934,24.618,0.70921693,0.364640884,0.392037,
